codigo_municipio_ibge,municipio,uf,tipo_candidato,co_entidade,nomes_historicos_censo,primeiro_ano_registro_censo,ultimo_ano_registro_censo,primeiro_ano_ativa_censo,ultimo_ano_ativa_censo,primeiro_ano_ept_ativa_censo,ultimo_ano_ept_ativa_censo,sigla_unidade_sistec,nome_unidade_sistec,dt_autorizacao_sistec,uf_unidade_sistec,municipio_unidade_sistec,correspondencia_municipio
3203908,Nova Venécia,ES,CENSO_ESCOLAR,32101856,IFES - CAMPUS DE NOVA VENECIA; IFES CAMPUS NOVA VENECIA; IFES - INSTITUTO FEDERAL DO ESPIRITO SANTO - CAMPUS NOVA VENECIA; IFES - CAMPUS NOVA VENECIA,2009.0,2019.0,2009,2019,2009,2019,,,,,,codigo_ibge
3203908,Nova Venécia,ES,MEC_SISTEC,,,,,,,,,IFES,Instituto Federal do Espírito Santo - Campus Nova Venécia,15/05/2009 09:11:57,ES,Nova Venécia,exata
3205200,Vila Velha,ES,CENSO_ESCOLAR,32078498,INSTITUTO FEDERAL DO ESPIRITO SANTO-CAMPUS VILA VELHA; IFES - CAMPUS VILA VELHA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
3205200,Vila Velha,ES,MEC_SISTEC,,,,,,,,,IFES,Instituto Federal do Espírito Santo - Campus Vila Velha,24/03/2011 10:21:55,ES,Vila Velha,exata
5201108,Anápolis,GO,CENSO_ESCOLAR,52096009,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS - CAMPUS ANAPOLIS; IFG - CAMPUS ANAPOLIS,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5201108,Anápolis,GO,MEC_SISTEC,,,,,,,,,IFG,Instituto Federal de Goiás - Campus Anápolis,08/06/2010 10:51:31,GO,Anápolis,exata
5208004,Formosa,GO,CENSO_ESCOLAR,52095924,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS - CAMPUS DE FORMOSA; IFG - CAMPUS FORMOSA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5208004,Formosa,GO,MEC_SISTEC,,,,,,,,,IFG,Instituto Federal de Goiás - Campus Formosa,08/06/2010 11:09:12,GO,Formosa,exata
5210208,Iporá,GO,CENSO_ESCOLAR,52096408,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA GOIANO - CAMPUS IPORA; IF GOIANO - CAMPUS IPORA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5210208,Iporá,GO,MEC_SISTEC,,,,,,,,,IF GOIANO,Instituto Federal Goiano - Campus Iporá,23/08/2010 14:10:42,GO,Iporá,exata
5211503,Itumbiara,GO,CENSO_ESCOLAR,52202372,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS - CAMPUS ITUMBIARA; IFG - CAMPUS ITUMBIARA,2009.0,2019.0,2009,2019,2009,2019,,,,,,codigo_ibge
5211503,Itumbiara,GO,MEC_SISTEC,,,,,,,,,IFG,Instituto Federal de Goiás - Campus Itumbiara,13/05/2009 15:19:41,GO,Itumbiara,exata
5212501,Luziânia,GO,CENSO_ESCOLAR,52096483,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS CAMPUS LUZIANIA; IFG - CAMPUS LUZIANIA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
